id,id_name,sex,age,country,Gruendungsjahr,type
Zuerich_Akademie,Tanz Akademie Zuerich,NA,NA,Schweiz,4,2
gp,Giorgi Potskhishvili,2,2,Georgien,NA,1
tvp,Timothy van Poucke,2,3,Niederlande,NA,1
Zoetermeer,Ballettschule in Zoetermeer,NA,NA,Niederlande,NA,2
jt,Jacopo Tissi,2,3,Italien,NA,1
Mailand,Accademia del Teatro alla Scala,NA,NA,Italien,1,2
Wien,Wiener Staatsballett,NA,NA,Oesterreich,1,2
Mailand_Balletto,Balletto al Teatro della,NA,NA,Italien,1,2
Landriano,Ballettschule in Landriano,NA,NA,Italien,NA,2
sw,Semjon Welitschko,2,3,Russland,NA,1
nb,Nadezhda Batoeva,1,4,Russland,NA,1
Wolgograd,Tsaritsynskaya Opera Theater,NA,NA,Russland,NA,2
sv,Semyon Velichko,2,2,Russland,NA,1
ekko,Ekaterina Kondaurova,1,6,Russland,,1
on,Olesya Novikova,2,6,Russland,NA,1
resh,Renata Shakirova,1,3,Usbekistan,NA,1
Ufa,Bashkir Choreographic College,NA,NA,Russland,2,2
oxsk,Oxana Skorik,1,4,Ukraine,NA,1
Perm_Ballett,Permer Tschaikowski-Opern- und Balletttheater,NA,NA,Russland,1,2
vt,Viktoria Tereshkina,1,6,Sibirien,NA,1
Krasnoyarsk_Ballettschule,Ballettschule in Krasnoyarsk,NA,NA,Russland,NA,2
dv,Diana Vishneva,1,7,Russland,NA,1
ta,Timur Askerov,2,NA,Aserbaidschan,NA,1
Baku,Staatstheater Baku,NA,NA,Aserbaidschan,2,2
Baku_School,Baku School of Dance,NA,NA,Aserbaidschan,NA,2
Kiew_Staatsballett,Ukrainisches Staatsballett,NA,NA,Ukraine,NA,2
yi,Yevgeny Ivanchenko,2,NA,Turkmenistan,NA,1
kk,Kimin Kim,2,4,Suedkorea,NA,1
ps,Philipp Stepin,2,NA,Russland,NA,1
ay,Andrei Yermakov,2,5,Russland,NA,1
Amsterdam_Academy,Dutch National Ballet Academy,Na,NA,Niederlande,3,2
